название практики;срок реализации 
"Дружба без границ: наставничество для детей, находящихся в трудной жизненной ситуации""";2006 - по наст.время 
Мир моего ребёнка;2016 - по наст.время 
СПАСАТЕЛЬНЫЙ КРУГ;2016-2018
"Восстановление отношений воспитанников учреждений для детей-сирот с кровными родственниками (""Не разлей вода"")";2016 - по наст.время 
"""Сохраним семью для ребенка""";2016 -  по наст.время
Предотвращение сиротства и разлучения с родителями детей первых лет жизни.;2016 - по наст.время
Сохраним семью для ребенка;2016 - по наст.время
Семейный источник;2016 - по наст.время
«Профилактика социального сиротства детей с синдромом Дауна посредством комплексной психолого-педагогической поддержки их семей»;2016 - по наст.время 
"Программа
непрерывного сопровождения детей с выраженными интеллектуальными нарушениями
";2016 - по наст.время 
Ранняя помощь;2016 - по наст.сремя
Гостевой дом;2016-2018
"""Семейный букет"" по апробации инновационной технологии сопровождения замещающих семей в сельской местности";2016 -    по наст.время
Эффективная система семейного устройства – комплексный подход – подготовка детей, подбор, подготовка и сопровождение семьи;2016 - 2018
Ступеньки к дому;2016 - по наст.время 
Особый ребенок достоин семьи: экспертная поддержка модернизации детских домов-интернатов в регионах РФ;2016-2018
Комплексное сопровождение замещающих семей в Волгоградской области: распространение технологий и методическая поддержка служб.;2016-2018
Маршруты формирования социального успеха у детей - сирот и детей, оставшихся без попечения родителей на основе технологии наставничества;2016-2018
Создание ресурсного центра для специалистов сферы защиты детства, работающих с ВИЧ-инфицированными детьми.;2016 - по наст.сремя
"Клуб ""Азбука приемной семьи""";2017 - по наст.время
"""Я - личность"". Реализация технологий социальной адаптации, формирования и закрепления навыков самостоятельной жизни детей-сирот и детей, оставшихся без попечения родителей, воспитанников (выпускников) организаций для детей-сирот.";2017-2019
Комплексная программа педагогической поддержки воспитанников и выпускников детских домов, детей из приемных семей.;2017-2019
Наши дети: система работы БУ СО ВО «Череповецкий центр помощи детям, оставшимся без попечения родителей, «Наши дети» по благополучному семейному устройству детей-сирот в г. Череповце.;2016 - по наст.время
Групповая работа в рамках комплексного сопровождении замещающих семей, создание сообщества — «Большая крепкая семья»;2017 - по наст.время
Родной дом;2017 - по наст.время
"""Семейный сундучок"":Апробация инновационной технологии сопровождения замещающих семей, в которых опекуном (законным представителем) является бабушка  ";2017-2019
"Сеть социальных контактов: активизация поддержки ""кризисных"" кровных семей методом сетевой терапии";2017-2019
«Ресурсный круг». Создание сети социально-психолого-педагогической поддержки родителей переживающих кризис для обретения ими опыта решения актуальных проблем и социально-ответственного поведения.;2017-2019
Региональный православный центр защиты семьи, материнства и детства «Смоленский дом для мамы»;2013 - по наст.время 
Комплексная помощь приемным семьям  с внедрением новых форм и методов;2017-2019
Ресурсный центр помощи приемным семьям с особыми детьми;2017-2018
Приемная семья: растем вместе!;2017-2019
Клуб комплексного сопровождения для замещающих семей  «Чужих детей не бывает»;2017-2019
"Детско-родительские группы психологического и социо-культурного сопровождения  для семей с некровными детьми ""Аистята""";2017-2019
"""Будем вместе"". Апробация  модели по оценке и управлению качеством услуг по семейному жизнеустройству  на севере Томской области, через работу методической площадки.";2017 - по наст.время
Центр поддержки семей с детьми с особенностями развития;2017 - по наст.время
Руки добра. Апробация инновационной технологии сопровождения семей находящихся в трудной жизненной ситуации проживающих в сельской местности;2017-2019
Бывший детский дом;2017-2019
"Комплексная программа медико-социальной реабилитации родителей, страдающих алкогольной зависимостью, допускающих насильственные методы воспитания детей ""Ветер перемен""";2017 - по наст.время
«Социальное обслуживание на дому детей с ОВЗ»;2017 - по наст.время
«Останься со мной»;2015 - по наст.время
Точка опоры ;с 2018  - по наст.время 
Программа наставничества для детее, оказавшихся в трудной жизненной ситуации “СТАРШИЙ ДРУГ”;
Курс на счастье в семье;
«Мы вместе!»;2012 - по наст.время
Мобильная служба сопровождения;
Преодолевая барьеры;планируется в 2020-2021
«Два детства-один мир. Программа психологической поддержки родителей»;
Ясемья;2015 - по наст.время
Ребенок под защитой;2018 - по наст.время
Молодая мама;2012 - по наст.время
Будем вместе ;2013 - по наст.время 
"Организация группы поддержки для родителей, имеющих детей с ограниченными возможностями здоровья «Равновесие""";2018-2019
Развивающий курс для родителей (законных представителей) подростков «Наука семейного счастья;
Семье – поддержку и развитие;
Индивидуальное самостоятельное проживание воспитанника с ограниченными возможностями здоровья в однокомнатной квартире в условиях школы-интерната;
Комплексное сопровождение приемных семей с детьми школьного возраста;
"Клуб замещающих семей ""Родные люди""";
«Как научиться просто жить»;
Клубная работа, как форма социально-педагогического сопровождения замещающей семьи.;
Организация сопровождения принимающих семей в условиях отдаленных сел и деревень;
"Центр сопровождения приемных семей ""Найди семью""";
Право ребенка на семью;
Дополнительная образовательная программа «Игровая экология»;
Работа со случаем (оказание помощи семьям в случаях нарушения прав и законных интересов детей);
«Возвращение домой»;
;
Профилактика отказов от новорожденных;с 2008 по наст.время
Центр временного проживания для матерей с детьми «Теплый дом»;с 2011 по наст.время
